ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3,Atributo 4,Raiting_Promedio 4
MLM1847843586,0,0.0,0,0,0,0,0,,,,,,,,
MLM2542473010,4,4.0,0,0,1,2,1,cost-benefit,4.333333333333333,ease_of_assembly,4.666666666666667,firmness,4.0,material_quality,3.6666666666666665
MLM1884199549,6,4.8,0,0,0,1,5,cost-benefit,5.0,ease_of_assembly,4.8,firmness,4.8,material_quality,5.0
MLM1338078402,21,4.5,0,0,0,11,10,cost-benefit,4.5,firmness,4.75,material_quality,4.75,ease_of_assembly,3.9444444444444446
MLM2417007610,0,0.0,0,0,0,0,0,,,,,,,,
MLM1958592995,3,4.0,0,0,1,1,1,cost-benefit,3.6666666666666665,ease_of_assembly,3.6666666666666665,firmness,3.3333333333333335,material_quality,3.3333333333333335
MLM905949196,30,4.7,0,1,1,3,25,cost-benefit,4.7,material_quality,4.75,firmness,4.7368421052631575,ease_of_assembly,4.888888888888889
MLM1371996892,9,4.3,0,0,3,0,6,cost-benefit,3.7777777777777777,firmness,3.7777777777777777,material_quality,3.7777777777777777,ease_of_assembly,3.625
MLM566204070,11,4.1,0,1,2,3,5,cost-benefit,3.8,ease_of_assembly,3.6,firmness,3.6,material_quality,4.0
MLM699275307,32,4.5,0,1,2,8,21,cost-benefit,4.25,ease_of_assembly,4.6,firmness,4.1,material_quality,4.1
MLM2327710948,0,0.0,0,0,0,0,0,,,,,,,,
MLM2388194196,0,0.0,0,0,0,0,0,,,,,,,,
MLM1588454379,5,5.0,0,0,0,0,5,cost-benefit,4.4,ease_of_assembly,5.0,firmness,4.8,material_quality,4.8
MLM641066676,29,4.3,1,1,1,10,16,ease_of_assembly,4.571428571428571,firmness,3.357142857142857,cost-benefit,4.230769230769231,material_quality,3.6153846153846154
MLM608437873,39,4.4,2,1,2,9,25,material_quality,4.285714285714286,cost-benefit,4.769230769230769,ease_of_assembly,5.0,firmness,4.615384615384615
MLM1468007282,27,4.6,1,0,2,3,21,cost-benefit,4.333333333333333,firmness,4.458333333333333,material_quality,4.166666666666667,ease_of_assembly,4.809523809523809
MLM1926569271,0,0.0,0,0,0,0,0,,,,,,,,
MLM1454949114,11,4.5,0,1,1,1,8,cost-benefit,4.714285714285714,firmness,4.428571428571429,material_quality,4.428571428571429,ease_of_assembly,4.5
MLM1927153595,0,0.0,0,0,0,0,0,,,,,,,,
MLM792126591,41,4.6,0,0,3,9,29,cost-benefit,4.620689655172414,ease_of_assembly,4.758620689655173,firmness,4.310344827586207,material_quality,4.620689655172414
MLM2427294374,0,0.0,0,0,0,0,0,,,,,,,,
MLM549762863,35,4.6,0,0,3,7,25,cost-benefit,4.416666666666667,ease_of_assembly,4.75,firmness,4.25,material_quality,4.416666666666667
MLM1961190265,2,5.0,0,0,0,0,2,,,,,,,,
MLM1935605889,0,0.0,0,0,0,0,0,,,,,,,,
MLM1617700713,14,4.3,1,0,1,4,8,cost-benefit,4.583333333333333,ease_of_assembly,4.333333333333333,firmness,4.0,material_quality,4.333333333333333
MLM2416984262,0,0.0,0,0,0,0,0,,,,,,,,
MLM1922854189,0,0.0,0,0,0,0,0,,,,,,,,
MLM1658965608,4,4.8,0,0,0,1,3,,,,,,,,
MLM2427380830,0,0.0,0,0,0,0,0,,,,,,,,
MLM1925168421,0,0.0,0,0,0,0,0,,,,,,,,
MLM2383352080,0,0.0,0,0,0,0,0,,,,,,,,
MLM1941053549,0,0.0,0,0,0,0,0,,,,,,,,
MLM2409977026,0,0.0,0,0,0,0,0,,,,,,,,
MLM1927471201,0,0.0,0,0,0,0,0,,,,,,,,
MLM2356533872,0,0.0,0,0,0,0,0,,,,,,,,
MLM893643818,23,4.6,1,0,2,1,19,cost-benefit,4.545454545454546,firmness,4.454545454545454,material_quality,4.545454545454546,ease_of_assembly,4.333333333333333
MLM544624832,30,4.1,2,3,2,6,17,cost-benefit,4.0,firmness,3.6666666666666665,material_quality,3.8333333333333335,ease_of_assembly,4.75
MLM1302405963,36,4.5,2,0,2,5,27,cost-benefit,4.633333333333334,firmness,4.333333333333333,material_quality,4.5,ease_of_assembly,4.482758620689655
MLM1927448655,0,0.0,0,0,0,0,0,,,,,,,,
MLM2115314742,4,5.0,0,0,0,0,4,,,,,,,,
MLM2696585762,0,0.0,0,0,0,0,0,,,,,,,,
MLM1471492240,2,5.0,0,0,0,0,2,,,,,,,,
MLM2404673424,0,0.0,0,0,0,0,0,,,,,,,,
MLM1338229144,13,4.7,0,0,1,2,10,cost-benefit,4.555555555555555,firmness,4.666666666666667,material_quality,4.666666666666667,ease_of_assembly,4.0
MLM2388308290,2,5.0,0,0,0,0,2,,,,,,,,
MLM1678647642,8,4.3,0,1,0,3,4,cost-benefit,4.0,ease_of_assembly,4.428571428571429,firmness,3.7142857142857144,material_quality,4.0
MLM1906452047,0,0.0,0,0,0,0,0,,,,,,,,
MLM2411879518,0,0.0,0,0,0,0,0,,,,,,,,
MLM1927470689,0,0.0,0,0,0,0,0,,,,,,,,
MLM2405325630,0,0.0,0,0,0,0,0,,,,,,,,
MLM1975069743,0,0.0,0,0,0,0,0,,,,,,,,
MLM1710668048,5,4.0,0,0,2,1,2,cost-benefit,4.75,ease_of_assembly,4.75,firmness,4.5,material_quality,4.5
MLM608438822,60,4.5,0,1,8,13,38,firmness,4.333333333333333,material_quality,4.4,cost-benefit,4.714285714285714,ease_of_assembly,4.642857142857143
MLM1371983836,4,4.5,0,0,1,0,3,cost-benefit,4.5,ease_of_assembly,5.0,firmness,4.75,material_quality,4.5
MLM1471481488,7,4.7,0,0,0,2,5,cost-benefit,4.4,ease_of_assembly,4.6,firmness,4.4,material_quality,4.6
MLM1359172961,3,5.0,0,0,0,0,3,cost-benefit,5.0,ease_of_assembly,4.75,firmness,4.75,material_quality,4.75
MLM549742845,14,4.6,0,0,1,3,10,cost-benefit,4.6,ease_of_assembly,4.2,firmness,4.0,material_quality,4.4
MLM1978034529,1,5.0,0,0,0,0,1,,,,,,,,
MLM1822797258,6,5.0,0,0,0,0,6,cost-benefit,5.0,ease_of_assembly,4.2,firmness,4.4,material_quality,5.0
MLM1853337185,31,4.5,1,1,2,6,21,cost-benefit,4.545454545454546,ease_of_assembly,3.8636363636363638,material_quality,4.2272727272727275,firmness,4.142857142857143
MLM2617264900,0,0.0,0,0,0,0,0,,,,,,,,
MLM2512618070,2,5.0,0,0,0,0,2,,,,,,,,
MLM2383318310,0,0.0,0,0,0,0,0,,,,,,,,
MLM1837267302,2,4.5,0,0,0,1,1,,,,,,,,
MLM1394210012,14,4.9,0,0,0,2,12,cost-benefit,4.428571428571429,ease_of_assembly,4.428571428571429,firmness,4.571428571428571,material_quality,4.571428571428571
MLM1922901913,0,0.0,0,0,0,0,0,,,,,,,,
MLM1933899361,0,0.0,0,0,0,0,0,,,,,,,,
MLM1661430192,1,5.0,0,0,0,0,1,,,,,,,,
MLM1475880758,1,5.0,0,0,0,0,1,,,,,,,,
MLM1746527313,6,4.3,0,0,1,2,3,cost-benefit,4.4,ease_of_assembly,4.8,firmness,4.8,material_quality,4.8
MLM1355889612,3,5.0,0,0,0,0,3,,,,,,,,
MLM1891830851,0,0.0,0,0,0,0,0,,,,,,,,
MLM2539979220,0,0.0,0,0,0,0,0,,,,,,,,
MLM1584121788,10,4.7,0,0,0,3,7,cost-benefit,4.7272727272727275,ease_of_assembly,4.454545454545454,firmness,4.454545454545454,material_quality,4.363636363636363
MLM1750161945,13,5.0,0,0,0,0,13,cost-benefit,4.666666666666667,ease_of_assembly,5.0,firmness,4.666666666666667,material_quality,4.75
MLM645238054,5,5.0,0,0,0,0,5,cost-benefit,4.5,ease_of_assembly,4.75,firmness,4.25,material_quality,4.75
MLM1452137105,2,4.5,0,0,0,1,1,cost-benefit,4.5,ease_of_assembly,4.75,firmness,4.25,material_quality,4.5
MLM895819639,25,4.8,1,0,0,2,22,cost-benefit,4.85,ease_of_assembly,4.7,firmness,4.65,material_quality,4.7
MLM1661484633,1,5.0,0,0,0,0,1,,,,,,,,
MLM1906036971,1,5.0,0,0,0,0,1,,,,,,,,
MLM668138972,2,5.0,0,0,0,0,2,cost-benefit,4.5,ease_of_assembly,5.0,firmness,4.5,material_quality,4.25
MLM1371983470,8,4.8,0,0,1,0,7,cost-benefit,4.444444444444445,ease_of_assembly,4.666666666666667,firmness,4.111111111111111,material_quality,4.0
MLM1769271276,6,3.5,0,1,3,0,2,cost-benefit,3.2,ease_of_assembly,4.8,firmness,2.8,material_quality,4.2
MLM893635050,7,4.9,0,0,0,1,6,cost-benefit,4.857142857142857,firmness,4.857142857142857,material_quality,4.857142857142857,ease_of_assembly,4.833333333333333
MLM2266195930,2,5.0,0,0,0,0,2,,,,,,,,
MLM905780802,14,4.6,1,0,0,2,11,cost-benefit,4.444444444444445,ease_of_assembly,4.888888888888889,firmness,4.333333333333333,material_quality,4.111111111111111
MLM1359041469,3,5.0,0,0,0,0,3,,,,,,,,
MLM707833359,12,4.5,1,0,0,2,9,cost-benefit,5.0,ease_of_assembly,5.0,firmness,4.857142857142857,material_quality,4.857142857142857
MLM1949609835,0,0.0,0,0,0,0,0,,,,,,,,
MLM1481693033,0,0.0,0,0,0,0,0,,,,,,,,
MLM1928018045,0,0.0,0,0,0,0,0,,,,,,,,
MLM737310222,10,4.5,0,0,0,5,5,cost-benefit,4.666666666666667,firmness,4.5,material_quality,4.5,ease_of_assembly,4.0
MLM1966004789,0,0.0,0,0,0,0,0,,,,,,,,
MLM1483105865,0,0.0,0,0,0,0,0,,,,,,,,
MLM871434928,4,4.3,0,0,1,1,2,,,,,,,,
MLM827292763,11,4.9,0,0,0,1,10,cost-benefit,4.833333333333333,firmness,4.833333333333333,material_quality,4.666666666666667,ease_of_assembly,4.8
MLM2512969100,1,5.0,0,0,0,0,1,,,,,,,,
MLM1315669575,1,5.0,0,0,0,0,1,,,,,,,,
MLM1931539017,1,5.0,0,0,0,0,1,,,,,,,,
MLM647792452,7,4.6,0,1,0,0,6,cost-benefit,4.75,ease_of_assembly,4.0,firmness,5.0,material_quality,4.75
MLM628463332,3,5.0,0,0,0,0,3,,,,,,,,
MLM1947972907,0,0.0,0,0,0,0,0,,,,,,,,
MLM1588523144,1,5.0,0,0,0,0,1,,,,,,,,
MLM1465231181,1,5.0,0,0,0,0,1,,,,,,,,
MLM1635102223,3,5.0,0,0,0,0,3,cost-benefit,5.0,ease_of_assembly,4.666666666666667,firmness,4.666666666666667,material_quality,5.0
MLM1999681261,0,0.0,0,0,0,0,0,,,,,,,,
MLM1923814391,1,5.0,0,0,0,0,1,,,,,,,,
MLM1678640870,0,0.0,0,0,0,0,0,,,,,,,,
MLM1918001129,5,4.4,0,1,0,0,4,cost-benefit,5.0,ease_of_assembly,5.0,firmness,5.0,material_quality,5.0
MLM938305720,7,5.0,0,0,0,0,7,cost-benefit,5.0,ease_of_assembly,5.0,firmness,5.0,material_quality,5.0
MLM2417032510,0,0.0,0,0,0,0,0,,,,,,,,
MLM1454965540,10,4.4,1,0,0,2,7,cost-benefit,4.777777777777778,firmness,4.666666666666667,material_quality,4.777777777777778,ease_of_assembly,4.333333333333333
MLM2101436442,15,4.6,1,0,0,2,12,cost-benefit,4.666666666666667,ease_of_assembly,4.833333333333333,firmness,4.583333333333333,material_quality,4.75
MLM1928074967,5,4.6,0,0,0,2,3,cost-benefit,4.2,ease_of_assembly,4.4,firmness,4.0,material_quality,4.2
MLM1506832383,17,4.2,0,0,4,6,7,cost-benefit,4.6923076923076925,firmness,4.0,material_quality,4.384615384615385,ease_of_assembly,4.0
MLM1921785435,0,0.0,0,0,0,0,0,,,,,,,,
MLM1661466147,1,5.0,0,0,0,0,1,,,,,,,,
MLM1965977433,1,5.0,0,0,0,0,1,,,,,,,,
MLM1917976677,6,4.3,0,0,1,2,3,cost-benefit,4.25,ease_of_assembly,4.875,firmness,4.0,material_quality,4.25
MLM916741655,6,5.0,0,0,0,0,6,cost-benefit,4.875,firmness,4.875,material_quality,4.875,ease_of_assembly,5.0
MLM1502048216,2,5.0,0,0,0,0,2,cost-benefit,5.0,ease_of_assembly,5.0,firmness,5.0,material_quality,5.0
MLM1372008567,7,4.7,0,0,1,0,6,cost-benefit,4.8,ease_of_assembly,4.4,firmness,4.2,material_quality,4.8
MLM1438531125,0,0.0,0,0,0,0,0,,,,,,,,
MLM932927624,8,3.4,0,2,2,3,1,cost-benefit,3.8333333333333335,ease_of_assembly,2.8333333333333335,firmness,2.6666666666666665,material_quality,3.6666666666666665
MLM1942871345,0,0.0,0,0,0,0,0,,,,,,,,
MLM549745421,15,4.4,0,0,3,3,9,cost-benefit,4.333333333333333,ease_of_assembly,4.444444444444445,firmness,4.111111111111111,material_quality,4.333333333333333
MLM1813258923,0,0.0,0,0,0,0,0,,,,,,,,
MLM1535457301,3,4.3,0,0,1,0,2,,,,,,,,
MLM1315755340,3,5.0,0,0,0,0,3,cost-benefit,4.666666666666667,ease_of_assembly,4.0,firmness,4.0,material_quality,4.0
MLM2309201302,7,3.7,1,1,0,2,3,firmness,3.4,material_quality,3.4,cost-benefit,4.25,ease_of_assembly,5.0
MLM2383353718,0,0.0,0,0,0,0,0,,,,,,,,
MLM2417007332,0,0.0,0,0,0,0,0,,,,,,,,
MLM2571433580,0,0.0,0,0,0,0,0,,,,,,,,
MLM1972305257,1,5.0,0,0,0,0,1,,,,,,,,
MLM2291252232,6,5.0,0,0,0,0,6,cost-benefit,4.888888888888889,ease_of_assembly,4.888888888888889,firmness,4.777777777777778,material_quality,4.777777777777778
MLM634046542,2,5.0,0,0,0,0,2,,,,,,,,
MLM1819277333,3,4.0,0,1,0,0,2,,,,,,,,
MLM909831330,3,4.3,0,0,1,0,2,cost-benefit,4.666666666666667,ease_of_assembly,5.0,firmness,4.666666666666667,material_quality,4.333333333333333
MLM1408708989,1,5.0,0,0,0,0,1,,,,,,,,
MLM1772254262,2,5.0,0,0,0,0,2,,,,,,,,
MLM1486917875,2,5.0,0,0,0,0,2,,,,,,,,
MLM893620438,29,4.6,1,1,1,4,22,cost-benefit,4.705882352941177,firmness,4.764705882352941,material_quality,4.823529411764706,ease_of_assembly,4.3
MLM553860279,7,4.4,0,1,0,1,5,cost-benefit,5.0,ease_of_assembly,5.0,firmness,5.0,material_quality,5.0
MLM1986971265,0,0.0,0,0,0,0,0,,,,,,,,
MLM2444225212,0,0.0,0,0,0,0,0,,,,,,,,
MLM1348189993,1,5.0,0,0,0,0,1,,,,,,,,
MLM2738736850,0,0.0,0,0,0,0,0,,,,,,,,
MLM2152846818,1,5.0,0,0,0,0,1,,,,,,,,
MLM1489135173,0,0.0,0,0,0,0,0,,,,,,,,
MLM1457780659,0,0.0,0,0,0,0,0,,,,,,,,
MLM1457780659,0,0.0,0,0,0,0,0,,,,,,,,
